LastActivity,AccountOwner,AccountName,State/Province,Type,Rating,LastModifiedDate,Country,HQCountry,AccountId,Region
10/4/18,Gary Griffith,Kforce Inc.,Florida,Prospect,C - General Interest (cont. to market),2/24/20,United States,"",00130000005HtH3AAK,SOUTHEAST
2/5/19,Gary Griffith,ADT Security Services Inc,Florida,Prospect,C - General Interest (cont. to market),6/19/20,United States,"",00130000005HtHtAAK,SOUTHEAST
3/6/18,Sonny Covington,Infosys Technologies Ltd,Texas,Prospect,C - General Interest (cont. to market),6/19/20,United States,"",00130000005HtIAAA0,CENTRAL
9/6/16,Adam Swaney,Sports Authority,Colorado,Ex-Customer,C - General Interest (cont. to market),4/7/20,United States,"",00130000005HtIPAA0,WEST
2/20/20,James Raspanti,Franklin Resources,California,Prospect,"",6/19/20,United States,"",00130000005HtIhAAK,NORTHEAST
10/3/18,Gary Griffith,Norwegian Cruise Line Limited,Florida,Prospect,B - Possible project (within 3-9 mths),2/24/20,United States,"",00130000005HtIlAAK,SOUTHEAST
10/5/18,Kyle Graves,GE Power and Water,New York,Ex-Customer,"",8/13/19,United States,"",00130000005HtInAAK,NORTHEAST
6/11/20,Gary Griffith,"PSCU Financial Services, Inc.",Florida,Customer,"",7/9/20,United States,United States of America,00130000005HtJKAA0,SOUTHEAST
3/13/07,Gary Griffith,"OSI Restaurant,Outback Steakhouse",Florida,Prospect,C - General Interest (cont. to market),2/24/20,United States,"",00130000005HtJWAA0,SOUTHEAST
"",Jason Pearson,Fenwick & West,California,Prospect,"",6/19/20,United States,"",00130000005IaFEAA0,WEST
12/11/19,Mark Ronson,Belkin Corporation,California,Prospect,"",6/15/20,United States,"",00130000005IaGNAA0,WEST
12/10/19,Mark Ronson,Hyundai North America,California,Prospect,C - General Interest (cont. to market),6/15/20,United States,"",00130000005IaGSAA0,WEST
12/11/19,Mark Ronson,California Institute of Technology,California,Prospect,"",6/19/20,United States,"",00130000005IaGgAAK,WEST
1/18/18,Jason Pearson,"Flextronics International USA, Inc.",California,Prospect,"",6/15/20,United States,"",00130000005IaGnAAK,WEST
12/12/19,Mark Ronson,Cubic Corporation,California,Prospect,"",6/15/20,United States,"",00130000005IaH0AAK,WEST
5/4/20,Mark Ronson,City Of Hope,California,Prospect,"",6/19/20,United States,"",00130000005IaH1AAK,WEST
6/7/18,Mark Ronson,USC University Hospital/USC Norris Cancer/ Keck Hospital Hospital,California,Prospect,"",6/15/20,United States,"",00130000005IaHLAA0,WEST
8/17/15,Mike Washington,DST Output Inc,England,Prospect,C - General Interest (cont. to market),3/5/20,United Kingdom,"",00130000005IaHWAA0,EMEA
9/13/15,Mark Ronson,"Restoration Hardware, Inc.",California,Prospect,"",6/19/20,United States,"",00130000005IaHYAA0,WEST
2/25/05,Gary Griffith,Columbia Arlington Hospital,Virginia,Prospect,"",8/13/19,United States,"",00130000004KLLkAAO,SOUTHEAST
7/28/20,Shannon Kimball,Columbia Sportswear Company,Oregon,Prospect,"",7/23/20,United States,"",00130000004KLLqAAO,WEST
2/21/20,Zachery Peters,Commerce Bank NA,Kansas,Prospect,C - General Interest (cont. to market),7/24/20,United States,"",00130000004KLM7AAO,CENTRAL
12/28/18,Patrick McGrath,Kentucky State,Kentucky,Prospect,"",6/19/20,United States,"",00130000004KLMEAA4,SOUTHEAST
2/10/09,Patrick McGrath,Compass Bank,Alabama,Prospect,B - Possible project (within 3-9 mths),5/7/20,United States,"",00130000004KOGZAA4,SOUTHEAST
9/19/18,Zachery Peters,"ConAgra Foods, Inc.",Nebraska,Prospect,C - General Interest (cont. to market),7/24/20,United States,"",00130000004KOGtAAO,CENTRAL
10/30/18,Sonny Covington,ConocoPhillips,Texas,Ex-Customer,A - Active project (within 3 to 6  mths),6/19/20,United States,"",00130000004KOH6AAO,CENTRAL
12/13/18,Tyler Bush,Convergys Corporation,Ohio,Prospect,C - General Interest (cont. to market),3/13/20,United States,"",00130000004KOHPAA4,MIDWEST
7/28/05,Adam Swaney,"Corporate Express, Inc.",Colorado,Prospect,A - Active project (within 3 to 6  mths),4/7/20,United States,"",00130000004KOHvAAO,WEST
7/28/20,Shannon Kimball,Costco Wholesale Corporation,Washington,Prospect,C - General Interest (cont. to market),7/23/20,United States,"",00130000004KOHwAAO,WEST
3/20/19,Gary Griffith,Cox Communications,Georgia,Prospect,C - General Interest (cont. to market),6/19/20,United States,"",00130000004KOInAAO,SOUTHEAST
1/8/20,James Raspanti,"Priceline.com, Incorporated",Connecticut,Prospect,C - General Interest (cont. to market),6/16/20,United States,"",00130000004KQD2AAO,NORTHEAST
10/3/18,Zachery Peters,"Principal Financial Services, Inc.",Iowa,Prospect,"",7/24/20,United States,"",00130000004KQDCAA4,CENTRAL
3/2/20,Simon Skinner,Nomura UK,England,Prospect,"",5/8/20,United Kingdom,"",0010z00001YCItoAAH,EMEA
1/14/10,Adam Swaney,TSYS iSolutions - Procard,Colorado,Ex-Customer,A - Active project (within 3 to 6  mths),4/7/20,United States,"",00130000004KQDLAA4,WEST
7/30/20,Tyler Bush,Procter & Gamble,Ohio,Ex-Customer,"",6/19/20,United States,"",00130000004KQDNAA4,MIDWEST
11/20/19,Gary Griffith,Progress Energy,North Carolina,Prospect,C - General Interest (cont. to market),8/13/19,United States,"",00130000004KQDTAA4,SOUTHEAST
12/16/19,Shannon Kimball,Protiviti,California,Non-Prospect,N - Not a lead (do not market),6/19/20,United States,"",00130000004KQDcAAO,WEST
8/9/18,Gary Griffith,McKesson Medical-Surgical,Florida,Prospect,"",2/24/20,United States,"",00130000004KQDpAAO,SOUTHEAST
7/9/20,Gary Griffith,Publix Super Markets,Florida,Prospect,C - General Interest (cont. to market),6/19/20,United States,"",00130000004KQDxAAO,SOUTHEAST
6/14/20,Mark Ronson,Qualcomm,California,Prospect,"",6/19/20,United States,"",00130000004KQEGAA4,WEST
11/24/14,Amy Rankin,Questar Corp,UT,Prospect,"",4/7/20,United States,"",00130000004KQEQAA4,WEST
11/21/19,Tyler Bush,QVC,Pennsylvania,Prospect,C - General Interest (cont. to market),5/7/20,United States,"",00130000004KQEVAA4,MIDWEST
7/21/20,Sonny Covington,CenturyLink,Louisiana,Customer,A - Active project (within 3 to 6  mths),6/19/20,United States,United States of America,00130000004KQEmAAO,CENTRAL
7/1/20,Joe Hliboki,Radian Group Inc.,Pennsylvania,Customer,"",6/19/20,United States,United States of America,00130000004KQF5AAO,MIDWEST
7/20/20,Gary Griffith,Raymond James Financial,Florida,Prospect,D - No Interest (cont. to market),6/19/20,United States,"",00130000004KQFSAA4,SOUTHEAST
